虎门大桥开始出现问题的时候，专家说是水马的原因，虎门大桥安全的很。现在结果出来了，专家该怎么说？还好没出大的事故，万幸中的万幸，以后所谓的专家能不能严谨的下定论！ 佳木斯,回复@basta2002:是假新闻吗？;多刷刷微博吧…结果就是告诉你 以后看一个新闻 请先判断下真实性…  钢索断裂是去年的事 已经更换 公众号移花接木造的假新闻;,05月11日 10:39    ,rumor
五一出游，安全第一。。。安徽滁州凤凰湖景区，今天发生一起汽车坠湖事故。。 人生大戏待乐起的微博视频,网警提醒： 假期，疫情防护不可忽视 自驾游要注意行车安全 宅家上网要遵守网络公约 不传谣、不信谣;,05月03日 07:34    ,rumor
2月28日上午，呼和浩特江北银河小区发生的一幕。据目击者称：一名30岁左右的男子进出小区不走正门，跳围栏，被小区志愿者发现。在劝阻时发生争执，男子将志愿者打伤。随后警方、120赶到现场，受伤的志愿者被送往医院，打人男子被带走。目前，事故具体原因还在调查中。#最新疫情地图##抗击新型肺炎第一线# 人生大戏待乐起的微博视频       ,不要造谣，这明显就不是呼市。我怀疑你背后有轮子的背景。;您好，呼和浩特近期没有下雪；视频中口音也并非呼和浩特；呼和浩特也并没有“江北银河小区”。@呼和浩特网警巡查执法 @网信呼和浩特;,02月28日 22:20    ,rumor
网友投稿：郑州林肯4S店的林肯领航员。试驾过程中发生事故，3死1重伤……（具体以官方为准）来源：填鸭式教育受害者 网络重君的微博视频,叫你乱发 被举报了吧;A柱;4;,01月12日 16:43    ,rumor
#汽车资讯# 郑州林肯4S店在试驾过程中发生事故，1死4伤…… 萝卜报告的微博视频,当时买车的时候马自达的试驾员就各种危险秀操作，我试驾完头也不回就走了，有毛病都是;飞行家，起飞失败;被和谐了;,01月12日 15:05    ,rumor
1月2日，广西贵港市港北区普罗旺斯幼儿园门口，一群孩子奔跑着过斑马线，两人被快速驶来的小轿车撞倒在地，其中一名幼儿倒地不起，另一名当场身亡！此次事故幼儿园老师和轿车司机都负有不可推卸的责任#交通事故##无力吐槽# 细思恐极的奇闻的微博视频,,01月04日 13:27    ,rumor
迈凯轮与福克斯发生事故！交警判迈凯轮车主全责，车主直接赔14万现金，把福克斯买了。。。,哥，塞纳应该不会在福建出现一辆;720改的吧;我晕了这是720s啊 哪看也不是塞纳啊;,2019/12/13 17:23,rumor
网友投稿：广州某地发生交通事故，一白色轿车等红灯时突然前行，冲向人行道上的人群，多人被撞倒…… 事发后一女子从车辆驾坐下车。,看妹子的配置，赔得起;乱入的千斤坠让人淬不及防;图三什么鬼;,2019/12/5 18:33,rumor
【绍兴一轿车翻滚后自燃】今天下午将近4点，绍兴市区中兴南路上，一辆轿车自北向南行驶，撞上石墩后发生翻滚，随后起火。现场有人想上前救援，因火势太大无法接近。火被消防赶到后扑灭，事故原因还有待调查。 黄金眼融媒的酷燃视频,该微博所发内容实际发生于2019年3月28日，请广大网友不信谣、传谣。;回复@绍兴大阿淼V:@微博小秘书 @微博管理员;该微博所发内容实际发生于2019年3月28日，请广大网友不信谣、传谣。;,2019/12/4 11:45,rumor
【车从天降！广西一汽车冲出高架吓坏路人】11月23号下午，在广西百色靖西县中学对面路段，一辆汽车从高架上冲出，差点砸中路人，事故原因和伤亡情况暂时未知。 http,#微博辟谣# 这是天使救援？分明是食用人血馒头的谣言恶魔！广西地震，天灾面前，如此传播谣言。大家一起来投诉！@捉谣记;天屎救援，造谣先锋。;靖西是个好地方，几年前去过两次。;,2019/11/25 11:50,rumor
这两天，西方社交媒体上曝出的一条妖言实在是太过惊悚：美东时间11月20日晚间6点22分，南海某海域50米的水下发生“核爆炸”，当量10-20千吨。这则妖言称，消息来自“未经证实的军方消息源”。随后，妖言发布方还贴出来自全球环境监测网（uRADM）的监控截图，称港、台和湛江等地的辐射值异常。妖言臆测这可能是某东方大国的一次水下核试验，是给美国发出的强力“信号”，与当前中美关系和地区局势相联系，另有人肆意发挥说这可能是一次核潜艇爆炸事故。妖言最初来自哪里呢？原来，这则妖言出自一名妖人。他名叫哈尔-特纳（Hal Turner），是美国新泽西州的一名极右翼政治评论员和电台主持人，自己办了一个以自己名字命名的电台和网站“哈尔特纳电台秀”，大肆宣扬白人至上主义，热衷于各种阴谋论，还呼吁暗杀政府官员等等，此君还有一项“显赫”的经历：曾担任多年的中情局线人，当然不是义务劳动，他是从中情局领取费用的。对于他的极端言行，美国主流社会终于也无法容忍，2010年8月，他对三名联邦法官进行杀害威胁而被判入狱两年。总之，劣迹斑斑的人渣一名。妖言毕竟是妖言，只要具备稍微正常思维和常识的人，就发现妖言太过离谱。有人到那个uRADM监测网核查发现，港、台和湛江20日之前的辐射值数据与之后的数值，根本没有显著差别。哈尔-特纳贴出的截图显然在断章取义、故意迷惑缺乏科学常识的人。而且如果是水下核试验或核事故，地震台会有监测，而无论美国和中国地震台官网都没有有关那里的地震监测数值，也就是说，实际上那里一切如常。更有人采访到美国的科学家，对妖言进行了专业打脸。上述妖言在西方社交媒体被打脸的同时，国内的自媒体也开始发酵了。有中国自媒体22日上午称，据俄 《军工信使》报22日报道：美国东部时间11月21日18时22分，在南海检测到当量10-20千吨的爆炸，深度50米。目前中国大陆和台湾已检测到放射水平上升。目前信息正在确认。据halturnerradioshow网站报道，地震检测仪记录到强烈的冲击波。这不太像自然原因的地震，很可能是潜艇发生爆炸。据eadaily报道，美国核潜艇经常在这一海域活动。期货_丝路的微博视频       ,图片评论 评论配图;如果是真的，一首核潜艇的代价又要讹诈我们多少;真的假的呀。。。。。 昨晚我就在想，中央这次被香港的事弄的憋屈，动手又担心影响祖国崛起大计！但忍着又没面子 想来想去要立威，还真有一个合适的目标！ 第一这个目标得要够强，搞他才有影响力 第二这个目标平时就针对中国，搞他大家只会看热闹，不会集体制裁我们。 第三这个目标在国际上不得人心;,2019/11/22 16:07,rumor
【突发！#哈尔滨兆麟公园楼体坍塌#】 网友私信爆料：兆麟公园里四五层的楼塌了，现场浓烟滚滚，事故具体原因暂不明。希望没有伤亡，附近的小伙伴注意安全。 #哈尔滨爆料# #哈尔滨突发#哈尔滨身边事的微博视频,,2019/10/21 17:49,rumor
据事故调查组介绍，4台货车同顺方向倾覆匝道右侧翻落至地面，由北至南排序分别编为1—4号车。1号车(黑AH3976号)为2轴货车、2号车(辽M45107号)、3号车(黑E52268号)、4号车(黑L82392号)都为6轴重型半挂车，均属非标车辆。经调查和实际称重，1号车核载9.6吨，实载12.42吨，超载率29.375%，车货总重18.625吨；2号车核载30吨，实载125.23吨，超载率317.43%，车货总重153.29吨；3号车核载31.235吨，实载134.55吨，超载率330.77%，车货总重163.59吨；4号车核载31.3吨，实载123.2吨，超载率293.61%，车货总重149.68吨。 1至4号车核载总量为102.135吨，实载总量为395.4吨，总超载为293.265吨，车货总重485.185吨。#无锡高架坍塌##无锡警方通报高架桥面侧翻#                ,造谣直接举报;这是哈尔滨7年前的事故 不要造谣了;@人民日报 @第一时间 @平安无锡;,2019/10/11 6:21,rumor
#无锡高架坍塌# 据事故调查组介绍，4台货车同顺方向倾覆匝道右侧翻落至地面，由北至南排序分别编为1—4号车。1号车(黑AH3976号)为2轴货车、2号车(辽M45107号)、3号车(黑E52268号)、4号车(黑L82392号)都为6轴重型半挂车，均属非标车辆。经调查和实际称重，1号车核载9.6吨，实载12.42吨，超载率29.375%，车货总重18.625吨；2号车核载30吨，实载125.23吨，超载率317.43%，车货总重153.29吨；3号车核载31.235吨，实载134.55吨，超载率330.77%，车货总重163.59吨；4号车核载31.3吨，实载123.2吨，超载率293.61%，车货总重149.68吨。 1至4号车核载总量为102.135吨，实载总量为395.4吨，总超载为293.265吨，车货总重485.185吨。 李铁锤M的微博视频       ,假的一看就是，哪有那么精确;官方都辟谣了，你还在发;昨晚就看到这个谣言了，这是几年前哈尔滨事故中的数据。;,2019/10/11 13:15,rumor
无锡桥梁坍塌，结果出来了！据事故调查组介绍，4台货车同顺方向倾覆匝道右侧翻落至地面，由北至南排序分别编为1—4号车。1号车(黑AH3976号)为2轴货车、2号车(辽M45107号)、3号车(黑E52268号)、4号车(黑L82392号)都为6轴重型半挂车，均属非标车辆。经调查和实际称重，1号车核载9.6吨，实载12.42吨，超载率29.375%，车货总重18.625吨；2号车核载30吨，实载125.23吨，超载率317.43%，车货总重153.29吨；3号车核载31.235吨，实载134.55吨，超载率330.77%，车货总重163.59吨；4号车核载31.3吨，实载123.2吨，超载率293.61%，车货总重149.68吨。 1至4号车核载总量为102.135吨，实载总量为395.4吨，总超载为293.265吨，车货总重485.185吨。#无锡高架坍塌# 初十89的微博视频       ,这条路很笨不经过东三省……你查下再发呀;数据是之前哈尔滨的事故，不是无锡的，不要造谣传谣;,2019/10/11 11:48,rumor
