汕头潮南区民生医院：昨天凌晨二点二十分，68名男女生感染sB250病毒死亡，暂时别吃魚内，汕头市127个魚塘已感染。兴宁的禽流感导致一人感染，隔离治疗中。瘦肉十九元，排骨三十元。假蜂蜜面条药物是用化工原料做的，奶粉质量不合格，地沟油，毒辣条，罂粟壳，说不完的中国。[雷锋] 兴宁·刁坊镇                 ,回复@常州网警巡查执法:警察同志您是微博网警，Q上的网警怎么联系？谢谢;回复@常州网警巡查执法:点击删除，就出现这种情况？ http://t.cn/R5DZVuT;回复@常州网警巡查执法:为什么我删不掉这篇微博？ http://t.cn/R5DZGnq;,2016/6/22 7:00,rumor
#洛阳身边事# 李翔： 2010年洛阳电视台报道地沟油，专家预测有200万吨地沟油已经上了餐桌，十顿饭就有一顿吃了地沟油！ 李翔追问地沟油，被当街刺十几刀死亡。 地沟油成为媒体的禁区。 一年350万癌症，前三名：肺癌，胃癌，肝癌，两个与地沟油有关。 30岁的李翔，为谁死了？记得吗？,弄清事实再发帖可以吗？这个记者报道过地沟油跟他晚上下班遇到劫匪被刺是两件事，不要做误导性的报道;,2015/3/15 7:41,rumor
"【中国之所以道德沦丧,答案就在这里】 赵普因曝光皮鞋酸奶，封杀数月险被革职；曝光地沟油的李翔，身中10余刀惨死；曝光三聚 氰胺的蒋卫锁遇害身亡；中国药品打假人高敬德在北京被派出所接走，3天后离奇死亡；曝光毕节五名流浪儿童被冻死的记者李元龙至今生死未卜。中国之所以道德沦丧，答案就在这里。                 ",回复@桃瓷瓷 的赞:;回复@我只是一只懒虫 的赞:;博主：你在找麻烦;,2014/8/12 8:33,rumor
"揭露地沟油的记者李翔,死了,　身中10余刀,惨死。他为我们的健康,付出了年轻的生命。我们能为他做的就是：请动一下鼠标,转发  ~~ 把你家里的油放到冰箱里2个小时,如果出现白色的泡沫一样,那就是地沟油.请发出你的爱心,把这信息转发到你的亲戚朋友。 　　　　　　　　　　　　　　　　                 ",对@筱柏 的赞表示:[lt拍手][咖啡];午安。;;,2014/5/7 9:44,rumor
"#请点支蜡烛#【清明节向英雄致敬】2011年9月18日河南洛阳电视台记者李翔身中10余刀,惨死.他为全国不能吃特供的十多亿平民的食品安全努力过!是他执着追查了地沟油事件!他人生的最后一条微博仍与地沟油窝点有关!请动一下鼠标,转发!向英雄记者致敬!翔子,我们怀念你!@袁裕来律师                 ",;回复@正常学生:驴屎都很可怕!;已处理？为什么还不删？[lxhx挠]//@点子正: 挂着冤狱来的，十有八九是谣言。老谣翻炒，吃屎赶不上热乎滴，造谣大脑都是地沟油，全家清明节。;,2014/4/5 11:10,rumor
"  揭露地沟油的记者李翔,死了, 身中10余刀,惨死。他为我们的健康,付出了年轻的生命。我们能为他做的就是：请动一下鼠标,转发。 把你家里的油放到冰箱里2个小时,如果出现白色...文字版>> http",百姓健康卫士一路走好，李翔永远活在人民心里。;转发微博;,2013/10/20 20:42,rumor
地沟油的记者李翔，死了。他身中10余刀，惨死。他为我们的健康付出了年轻的生命，我们能为他做的就是：请动一下手指转发。把你家里的油放倒冰箱里2小时，如果出现白色的泡沫状，那就是地沟油，请发出你的爱心，把这信息转发到你的亲戚朋友。检测地沟油的最简单方 我在,,2013/8/21 14:20,rumor
地沟油的记者李翔死了，身中10余刀，惨死。他为我们的健康付出了年轻的生命。多希望这不是真的,,2013/8/22 8:51,rumor
地沟油的记者李翔，死了。他身中10余刀，惨死。他为我们的健康付出了年轻的生命，能不能说他“生的伟大，死的光荣”。,,2013/8/20 15:16,rumor
"查地沟油的记者李翔，死了, 身中10余刀，惨死。他为全国不能吃特供的十多亿人民的食品安全努力过。他付出了年轻的生命。为了我们的健康，他付出了年轻的生命。我们能为他做的就是：请动一下鼠标，转发，向他以及像他一样的同志致以深深的感谢及歉意。（转）",,2013/8/22 9:34,rumor
地沟油的记者李翔，死了。他身中10余刀，惨死。他为我们的健康付出了年轻的生命，我们能为他做的就是：请动一下手指转发。检测地沟油的最简单方法：炒菜时放一颗剥皮的蒜头，如果蒜头变红色，就是地沟油，含有大量的黄曲霉素，食油良好的话，蒜头是白色的。。。 我在,,2013/8/19 22:19,rumor
地沟油的记者李翔，死了。他身中10余刀，惨死。把你家里的油放倒冰箱里2小时，如果出现白色的泡沫状，那就是地沟油，请发出你的爱心，把这信息转发到你的亲戚朋友。检测地沟油的最简单方法：炒菜时放一颗剥皮的蒜头，如果蒜头变红色，就是地沟油，含有大量的黄曲霉素，食油良好的话，蒜头是白色的。,转发;,2013/8/22 10:43,rumor
"看过的一定要转一下么，这里先谢过了！ 地沟油的记者李翔,死了, 身中10余刀,惨死。他为我们的健康,付出了年轻的生命。我们能为他做的就是：请动一下鼠标。 我在",,2013/8/20 22:28,rumor
报光地沟油的记者李翔死了，但是民众与地沟油的斗争愈演愈烈，这是关系民生的大事，人人都要参与，为生命权力而战。身体发肤受之父母，生命全受之上帝，我们的身体是上帝的殿，圣灵要住在里面，保护好身体是爱神的表现，拒绝地沟油，真的爱神又爱人。,转发微博;,2013/8/20 10:40,rumor
"地沟油的记者李翔,死了, 身中10余刀,惨死。  把你家里的油放到冰箱里2个小时,如果出现白色的泡沫一样,那就是地沟油.           检测地沟油的最简单方法是",,2013/8/21 22:56,rumor
"认识我的能转一下么，这里先谢过了！ 地沟油的记者李翔,死了, 身中10余刀,惨死。他为我们的健康,付出了年轻的生命。我们能为他做的就是：请动一下鼠标,转发。 把你家里的油放到冰箱里2个小时,如果出现白色的泡沫一样,那就是地沟油. 我在",,2013/8/21 6:10,rumor
